# Exhaustive lling-llang stack-safety disposition ledger.
# Rows D001-D091 reproduce the exact direct-candidate order from pgmcp/libcpg run 44bdd341-48f4-46bf-8829-92988abf55b1.
# Rows S001-S005 cover every mutual SCC from that run. Rows L001-L041 cover the independent 213-file Rust recursive-owned-type audit.
# Every final_revision cell identifies the immutable production commit validated by this ledger.
id	kind	discovery_run	baseline_revision	baseline_file	baseline_line	symbol	scc	feature_profile	reachability	depth_driver	observable_order	sharing_cycle_policy	cancellation_cap	baseline_stack_risk	machine	shallow_oracle	formal_obligations	property_laws	deep_wide_lifecycle_test	complexity	allocation_plan	final_revision	disposition	source_evidence
D040	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/behavioral_algebra.rs	327	crate::BehavioralAlgebra < H >::domain_values	-	default+all-features	production-library	formula/domain nesting	left-to-right; short-circuit and quantifier order exact	lexical environments/fixpoints preserved; owned syntax acyclic	sticky exactness and search budget preserved	baseline input-depth native recursion	behavioral formula PDA	tests/stack_safety_properties.rs::shallow_behavioral_bounds_preserve_sticky_exactness + deep_behavioral_formula_and_domain_lifecycle_use_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::shallow_behavioral_bounds_preserve_sticky_exactness + deep_behavioral_formula_and_domain_lifecycle_use_constant_native_stack	O(visited formula/model work) time/O(h+model state) heap	typed frames; bounded-domain loop	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/behavioral_algebra.rs:345:self.domain_values(inner)
D041	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/behavioral_algebra.rs	356	crate::BehavioralAlgebra < H >::eval	-	default+all-features	production-library	formula/domain nesting	left-to-right; short-circuit and quantifier order exact	lexical environments/fixpoints preserved; owned syntax acyclic	sticky exactness and search budget preserved	baseline input-depth native recursion	behavioral formula PDA	tests/stack_safety_properties.rs::shallow_behavioral_quantifiers_match_ordered_reference + deep_behavioral_formula_and_domain_lifecycle_use_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::shallow_behavioral_quantifiers_match_ordered_reference + deep_behavioral_formula_and_domain_lifecycle_use_constant_native_stack	O(visited formula/model work) time/O(h+model state) heap	typed frames; bounded-domain loop	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/behavioral_algebra.rs:375:self.eval(body, &env2) | src/symbolic/behavioral_algebra.rs:393:self.eval(body, &env2) | src/symbolic/behavioral_algebra.rs:404:self.eval(a, env) | src/symbolic/behavioral_algebra.rs:408:self.eval(b, env) | src/symbolic/behavioral_algebra.rs:412:self.eval(a, env) | src/symbolic/behavioral_algebra.rs:416:self.eval(b, env) | src/symbolic/behavioral_algebra.rs:420:self.eval(x, env)
D042	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/behavioral_algebra.rs	471	crate::BehavioralAlgebra < H >::denote	-	default+all-features	production-library	formula/domain nesting	left-to-right; short-circuit and quantifier order exact	lexical environments/fixpoints preserved; owned syntax acyclic	sticky exactness and search budget preserved	baseline input-depth native recursion	behavioral formula PDA	tests/stack_safety_properties.rs::deep_behavioral_formula_and_domain_lifecycle_use_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_behavioral_formula_and_domain_lifecycle_use_constant_native_stack	O(visited formula/model work) time/O(h+model state) heap	typed frames; bounded-domain loop	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/behavioral_algebra.rs:500:self.denote(body, states, adj, &env2, fix) | src/symbolic/behavioral_algebra.rs:512:self.denote(body, states, adj, &env2, fix) | src/symbolic/behavioral_algebra.rs:519:self.denote(a, states, adj, env, fix) | src/symbolic/behavioral_algebra.rs:520:self.denote(b, states, adj, env, fix) | src/symbolic/behavioral_algebra.rs:524:self.denote(a, states, adj, env, fix) | src/symbolic/behavioral_algebra.rs:525:self.denote(b, states, adj, env, fix) | src/symbolic/behavioral_algebra.rs:529:self.denote(x, states, adj, env, fix) | src/symbolic/behavioral_algebra.rs:533:self.denote(body, states, adj, env, fix) | src/symbolic/behavioral_algebra.rs:543:self.denote(body, states, adj, env, fix) | src/symbolic/behavioral_algebra.rs:558:self.denote(body, states, adj, env, &fix2) | src/symbolic/behavioral_algebra.rs:572:self.denote(body, states, adj, env, &fix2)
D043	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/collection_algebra.rs	126	crate::BagAlgebra < A >::collect_classes	-	default+all-features	production-library	predicate nesting	left-before-right short-circuit; class order stable	owned acyclic syntax; cover sharing preserved	cardinality caps fail closed	baseline input-depth native recursion	collection predicate PDA	tests/stack_safety_properties.rs::deep_bag_predicate_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_bag_predicate_lifecycle_uses_constant_native_stack	output/enumeration-sensitive; O(h) control heap	typed tasks/frames and reusable count matrices	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/collection_algebra.rs:134:self.collect_classes(a, out) | src/symbolic/collection_algebra.rs:135:self.collect_classes(b, out) | src/symbolic/collection_algebra.rs:137:self.collect_classes(x, out)
D044	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/collection_algebra.rs	164	crate::BagAlgebra < A >::eval_counts	-	default+all-features	production-library	predicate nesting	left-before-right short-circuit; class order stable	owned acyclic syntax; cover sharing preserved	cardinality caps fail closed	baseline input-depth native recursion	collection predicate PDA	tests/stack_safety_properties.rs::deep_bag_predicate_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_bag_predicate_lifecycle_uses_constant_native_stack	output/enumeration-sensitive; O(h) control heap	typed tasks/frames and reusable count matrices	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/collection_algebra.rs:181:self.eval_counts(a, counts, cover) | src/symbolic/collection_algebra.rs:181:self.eval_counts(b, counts, cover) | src/symbolic/collection_algebra.rs:184:self.eval_counts(a, counts, cover) | src/symbolic/collection_algebra.rs:184:self.eval_counts(b, counts, cover) | src/symbolic/collection_algebra.rs:186:self.eval_counts(x, counts, cover)
D045	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/collection_algebra.rs	300	crate::BagAlgebra < A >::evaluate	-	default+all-features	production-library	predicate nesting	left-before-right short-circuit; class order stable	owned acyclic syntax; cover sharing preserved	cardinality caps fail closed	baseline input-depth native recursion	collection predicate PDA	tests/stack_safety_properties.rs::deep_bag_predicate_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_bag_predicate_lifecycle_uses_constant_native_stack	output/enumeration-sensitive; O(h) control heap	typed tasks/frames and reusable count matrices	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/collection_algebra.rs:308:self.evaluate(a, elem) | src/symbolic/collection_algebra.rs:308:self.evaluate(b, elem) | src/symbolic/collection_algebra.rs:309:self.evaluate(a, elem) | src/symbolic/collection_algebra.rs:309:self.evaluate(b, elem) | src/symbolic/collection_algebra.rs:310:self.evaluate(x, elem)
D046	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/collection_algebra.rs	549	crate::MapAlgebra < K , V >::collect_classes	-	default+all-features	production-library	predicate nesting	left-before-right short-circuit; class order stable	owned acyclic syntax; cover sharing preserved	cardinality caps fail closed	baseline input-depth native recursion	collection predicate PDA	tests/stack_safety_properties.rs::deep_map_predicate_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_map_predicate_lifecycle_uses_constant_native_stack	output/enumeration-sensitive; O(h) control heap	typed tasks/frames and reusable count matrices	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/collection_algebra.rs:569:self.collect_classes(a, keys, vals) | src/symbolic/collection_algebra.rs:570:self.collect_classes(b, keys, vals) | src/symbolic/collection_algebra.rs:572:self.collect_classes(x, keys, vals)
D047	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/collection_algebra.rs	616	crate::MapAlgebra < K , V >::eval_counts	-	default+all-features	production-library	predicate nesting	left-before-right short-circuit; class order stable	owned acyclic syntax; cover sharing preserved	cardinality caps fail closed	baseline input-depth native recursion	collection predicate PDA	tests/stack_safety_properties.rs::deep_map_predicate_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_map_predicate_lifecycle_uses_constant_native_stack	output/enumeration-sensitive; O(h) control heap	typed tasks/frames and reusable count matrices	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/collection_algebra.rs:646:self.eval_counts(a, counts, key_ms, val_ms) | src/symbolic/collection_algebra.rs:647:self.eval_counts(b, counts, key_ms, val_ms) | src/symbolic/collection_algebra.rs:650:self.eval_counts(a, counts, key_ms, val_ms) | src/symbolic/collection_algebra.rs:651:self.eval_counts(b, counts, key_ms, val_ms) | src/symbolic/collection_algebra.rs:653:self.eval_counts(x, counts, key_ms, val_ms)
D048	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/collection_algebra.rs	771	crate::MapAlgebra < K , V >::evaluate	-	default+all-features	production-library	predicate nesting	left-before-right short-circuit; class order stable	owned acyclic syntax; cover sharing preserved	cardinality caps fail closed	baseline input-depth native recursion	collection predicate PDA	tests/stack_safety_properties.rs::deep_map_predicate_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_map_predicate_lifecycle_uses_constant_native_stack	output/enumeration-sensitive; O(h) control heap	typed tasks/frames and reusable count matrices	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/collection_algebra.rs:789:self.evaluate(a, elem) | src/symbolic/collection_algebra.rs:789:self.evaluate(b, elem) | src/symbolic/collection_algebra.rs:790:self.evaluate(a, elem) | src/symbolic/collection_algebra.rs:790:self.evaluate(b, elem) | src/symbolic/collection_algebra.rs:791:self.evaluate(x, elem)
D049	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/kat_algebra.rs	147	crate::eval_test_public	-	default+all-features	production-library	BooleanTest nesting	left-before-right short-circuit	owned acyclic predicate	no cap; exact Boolean result	baseline input-depth native recursion	short-circuit Boolean PDA	tests/stack_safety_properties.rs::deep_boolean_test_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_boolean_test_lifecycle_uses_constant_native_stack	O(visited nodes) work/O(h) heap	compact frame Vec	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/kat_algebra.rs:152:eval_test_public(inner, valuation) | src/symbolic/kat_algebra.rs:153:eval_test_public(a, valuation) | src/symbolic/kat_algebra.rs:153:eval_test_public(b, valuation) | src/symbolic/kat_algebra.rs:154:eval_test_public(a, valuation) | src/symbolic/kat_algebra.rs:154:eval_test_public(b, valuation)
D050	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict.rs	1156	crate::TheoryPred < T >::hash	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/symbolic/logict.rs:1157:std::mem::discriminant(self).hash(state)
D051	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict.rs	1205	crate::TheoryAlgebra < T >::collect_constraints	-	default+all-features	production-library	TheoryPred nesting	logical order and fair stream order preserved	persistent stores preserved; syntax acyclic	search bound and inconsistency fail closed	baseline input-depth native recursion	theory predicate PDA	tests/stack_safety_properties.rs::deep_theory_predicate_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_theory_predicate_lifecycle_uses_constant_native_stack	search/output-sensitive; O(h) control heap	typed frames; immutable store branches	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/logict.rs:1218:self.collect_constraints(a, store) | src/symbolic/logict.rs:1224:self.collect_constraints(a, store) | src/symbolic/logict.rs:1225:self.collect_constraints(b, store) | src/symbolic/logict.rs:1247:self.collect_constraints(inner2, store) | src/symbolic/logict.rs:1252:self.collect_constraints(&not_a, store) | src/symbolic/logict.rs:1253:self.collect_constraints(&not_b, store) | src/symbolic/logict.rs:1260:self.collect_constraints(&not_a, store)
D052	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict.rs	1363	crate::TheoryAlgebra < T >::evaluate	-	default+all-features	production-library	TheoryPred nesting	logical order and fair stream order preserved	persistent stores preserved; syntax acyclic	search bound and inconsistency fail closed	baseline input-depth native recursion	theory predicate PDA	tests/stack_safety_properties.rs::deep_theory_predicate_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_theory_predicate_lifecycle_uses_constant_native_stack	search/output-sensitive; O(h) control heap	typed frames; immutable store branches	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/logict.rs:1368:self.evaluate(a, elem) | src/symbolic/logict.rs:1368:self.evaluate(b, elem) | src/symbolic/logict.rs:1369:self.evaluate(a, elem) | src/symbolic/logict.rs:1369:self.evaluate(b, elem) | src/symbolic/logict.rs:1370:self.evaluate(inner, elem)
D053	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict.rs	1435	crate::multiset_partitions_rec	-	default+all-features	production-library	distinct-item count and requested multiplicity	lexicographic quantity order; lazy prefix stable	immutable items; choice-tail arena shares prefixes	consumer bound stops production; infeasible suffix rejects	baseline input-depth native recursion	multiset choice machine	src/symbolic/logict.rs::multiset_partitions_match_recursive_reference_and_invariants + deep_multiset_partition_prefix_uses_constant_native_stack	MultisetPartitionMachine.v + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/symbolic/logict.rs::multiset_partitions_match_recursive_reference_and_invariants + deep_multiset_partition_prefix_uses_constant_native_stack	output-sensitive with O(items+prefix) live heap	flat schedule and choice arenas	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/logict.rs:1480:multiset_partitions_rec(&items_clone, start + 1, remaining - q)
D054	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict.rs	298	crate::LogicStream < T >::map	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/symbolic/logict.rs:301:all_values.into_iter().map(f)
D055	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict.rs	309	crate::LogicStream < T >::filter	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/symbolic/logict.rs:311:all_values.into_iter().filter(|v| pred(v))
D056	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict.rs	742	crate::evaluate_quantified	-	default+all-features	production-library	formula and quantifier nesting	left-before-right; domain enumeration order exact	lexical environment restoration exact	bound exhaustion yields typed conservative outcome	baseline input-depth native recursion	quantifier continuation PDA	tests/stack_safety_properties.rs::deep_quantified_formula_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_quantified_formula_lifecycle_uses_constant_native_stack	search/output-sensitive; O(h+environment) heap	typed frames; environment undo records	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/logict.rs:769:evaluate_quantified(a, env, relation_query, domain_enumerate, bound) | src/symbolic/logict.rs:770:evaluate_quantified(b, env, relation_query, domain_enumerate, bound) | src/symbolic/logict.rs:774:evaluate_quantified(a, env, relation_query, domain_enumerate, bound) | src/symbolic/logict.rs:775:evaluate_quantified(b, env, relation_query, domain_enumerate, bound) | src/symbolic/logict.rs:779:evaluate_quantified(inner, env, relation_query, domain_enumerate, bound) | src/symbolic/logict.rs:783:evaluate_quantified(a, env, relation_query, domain_enumerate, bound) | src/symbolic/logict.rs:784:evaluate_quantified(b, env, relation_query, domain_enumerate, bound) | src/symbolic/logict.rs:797:evaluate_quantified(body, &inner_env, relation_query, domain_enumerate, bound) | src/symbolic/logict.rs:808:evaluate_quantified(body, &inner_env, relation_query, domain_enumerate, bound)
D057	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict.rs	934	crate::evaluate_quantified_with_theory	-	default+all-features	production-library	formula and quantifier nesting	left-before-right; domain enumeration order exact	lexical environment restoration exact	bound exhaustion yields typed conservative outcome	baseline input-depth native recursion	quantifier continuation PDA	tests/stack_safety_properties.rs::deep_quantified_formula_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_quantified_formula_lifecycle_uses_constant_native_stack	search/output-sensitive; O(h+environment) heap	typed frames; environment undo records	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/logict.rs:969:evaluate_quantified_with_theory( | src/symbolic/logict.rs:980:evaluate_quantified_with_theory( | src/symbolic/logict.rs:992:evaluate_quantified_with_theory( | src/symbolic/logict.rs:1003:evaluate_quantified_with_theory( | src/symbolic/logict.rs:1014:evaluate_quantified_with_theory( | src/symbolic/logict.rs:1014:evaluate_quantified_with_theory( | src/symbolic/logict.rs:1025:evaluate_quantified_with_theory( | src/symbolic/logict.rs:1033:evaluate_quantified_with_theory( | src/symbolic/logict.rs:1055:evaluate_quantified_with_theory( | src/symbolic/logict.rs:1086:evaluate_quantified_with_theory(
D058	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict_smt.rs	245	crate::eval_term	-	default+smt-z3	production-library	SmtTerm/SmtConstraint nesting	left-before-right and wrapping arithmetic exact	owned acyclic syntax; model borrowed	short-circuit exact; no implicit cap	baseline input-depth native recursion	SMT evaluation PDA	tests/stack_safety_properties.rs::shallow_smt_evaluation_matches_reference + deep_smt_evaluation_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::shallow_smt_evaluation_matches_reference + deep_smt_evaluation_uses_constant_native_stack	O(visited nodes) work/O(h) heap	compact task/value Vecs	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/logict_smt.rs:251:eval_term(a, m).wrapping_add(eval_term(b, m)) | src/symbolic/logict_smt.rs:251:eval_term(a, m) | src/symbolic/logict_smt.rs:251:eval_term(b, m) | src/symbolic/logict_smt.rs:252:eval_term(a, m).wrapping_sub(eval_term(b, m)) | src/symbolic/logict_smt.rs:252:eval_term(a, m) | src/symbolic/logict_smt.rs:252:eval_term(b, m) | src/symbolic/logict_smt.rs:253:eval_term(a, m)
D059	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict_smt.rs	258	crate::eval_constraint	-	default+smt-z3	production-library	SmtTerm/SmtConstraint nesting	left-before-right and wrapping arithmetic exact	owned acyclic syntax; model borrowed	short-circuit exact; no implicit cap	baseline input-depth native recursion	SMT evaluation PDA	tests/stack_safety_properties.rs::shallow_smt_evaluation_matches_reference + deep_smt_evaluation_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::shallow_smt_evaluation_matches_reference + deep_smt_evaluation_uses_constant_native_stack	O(visited nodes) work/O(h) heap	compact task/value Vecs	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/logict_smt.rs:268:eval_constraint(a, m) | src/symbolic/logict_smt.rs:269:eval_constraint(a, m) | src/symbolic/logict_smt.rs:269:eval_constraint(b, m) | src/symbolic/logict_smt.rs:270:eval_constraint(a, m) | src/symbolic/logict_smt.rs:270:eval_constraint(b, m)
D060	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict_smt.rs	325	crate::Z3Env < 'ctx >::term	-	default+smt-z3	production-library	SmtTerm/SmtConstraint nesting	left-before-right; Z3 context identity preserved	all ASTs remain in one borrowed context	unsupported/malformed forms retain typed behavior	baseline input-depth native recursion	Z3 AST construction PDA	src/symbolic/logict_smt.rs::Z3 backend unit matrix	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/symbolic/logict_smt.rs::z3_integer_translation_refines_ground_evaluation + z3_constraint_translation_refines_ground_evaluation + deep_z3_translation_uses_constant_native_stack (512+512 cases; 100,000 levels/256 KiB)	O(n) Z3 construction calls/O(h+n AST) heap	typed task/value Vecs; no per-transition box	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/logict_smt.rs:333:self.term(a)
D061	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/logict_smt.rs	360	crate::Z3Env < 'ctx >::constraint	-	default+smt-z3	production-library	SmtTerm/SmtConstraint nesting	left-before-right; Z3 context identity preserved	all ASTs remain in one borrowed context	unsupported/malformed forms retain typed behavior	baseline input-depth native recursion	Z3 AST construction PDA	src/symbolic/logict_smt.rs::Z3 backend unit matrix	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/symbolic/logict_smt.rs::z3_integer_translation_refines_ground_evaluation + z3_constraint_translation_refines_ground_evaluation + deep_z3_translation_uses_constant_native_stack (512+512 cases; 100,000 levels/256 KiB)	O(n) Z3 construction calls/O(h+n AST) heap	typed task/value Vecs; no per-transition box	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/logict_smt.rs:370:self.constraint(a).not() | src/symbolic/logict_smt.rs:370:self.constraint(a) | src/symbolic/logict_smt.rs:372:self.constraint(a) | src/symbolic/logict_smt.rs:373:self.constraint(b) | src/symbolic/logict_smt.rs:377:self.constraint(a) | src/symbolic/logict_smt.rs:378:self.constraint(b)
D062	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/ordered_field.rs	188	crate::OrderedF64::hash	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/symbolic/ordered_field.rs:189:self.0.to_bits().hash(state)
D063	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/presburger.rs	322	crate::evaluate_presburger	-	default+all-features	production-library	predicate/quantifier nesting	left-before-right; binding restore exact	assignment mutations use undo records	bit width and quantifier domain are explicit	baseline input-depth native recursion	Presburger evaluation PDA	tests/stack_safety_properties.rs::shallow_presburger_evaluation_matches_reference + deep_presburger_evaluation_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::shallow_presburger_evaluation_matches_reference + deep_presburger_evaluation_uses_constant_native_stack	search-sensitive; O(h+assignment) control heap	typed frames and in-place assignment restoration	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/presburger.rs:332:evaluate_presburger(a, assignment, bit_width) | src/symbolic/presburger.rs:333:evaluate_presburger(b, assignment, bit_width) | src/symbolic/presburger.rs:336:evaluate_presburger(a, assignment, bit_width) | src/symbolic/presburger.rs:337:evaluate_presburger(b, assignment, bit_width) | src/symbolic/presburger.rs:339:evaluate_presburger(inner, assignment, bit_width) | src/symbolic/presburger.rs:353:evaluate_presburger(body, &ext, bit_width)
